"","DIA.Open","DIA.High","DIA.Low","DIA.Close","DIA.Volume","DIA.WAP","DIA.hasGaps","DIA.Count"
"2020-01-21 10:52:00",293.14,293.17,293.14,293.17,4,293.152,0,4
"2020-01-21 10:53:00",293.18,293.22,293.17,293.22,25,293.196,0,10
"2020-01-21 10:54:00",293.19,293.21,293.15,293.19,12,293.188,0,8
"2020-01-21 10:55:00",293.2,293.23,293.2,293.23,10,293.217,0,6
"2020-01-21 10:56:00",293.22,293.25,293.22,293.25,25,293.239,0,14
"2020-01-21 10:57:00",293.26,293.28,293.2,293.21,15,293.252,0,12
"2020-01-21 10:58:00",293.21,293.21,293.16,293.16,5,293.202,0,3
"2020-01-21 10:59:00",293.18,293.18,293.17,293.17,11,293.178,0,5
"2020-01-21 11:00:00",293.19,293.2,293.15,293.16,14,293.175,0,9
"2020-01-21 11:01:00",293.14,293.14,293.1,293.12,45,293.125,0,33
"2020-01-21 11:02:00",293.1,293.12,293.1,293.11,4,293.106,0,4
"2020-01-21 11:03:00",293.12,293.16,293.11,293.16,73,293.131,0,11
"2020-01-21 11:04:00",293.2,293.2,293.15,293.15,47,293.177,0,11
"2020-01-21 11:05:00",293.14,293.14,293.14,293.14,30,293.14,0,8
"2020-01-21 11:06:00",293.14,293.14,293.13,293.14,6,293.139,0,4
"2020-01-21 11:07:00",293.12,293.12,293.12,293.12,2,293.12,0,2
"2020-01-21 11:08:00",293.11,293.15,293.11,293.15,18,293.133,0,13
"2020-01-21 11:09:00",293.13,293.19,293.13,293.15,87,293.162,0,54
"2020-01-21 11:10:00",293.09,293.09,293.07,293.07,16,293.074,0,13
"2020-01-21 11:11:00",293.04,293.05,293.04,293.04,30,293.043,0,4
"2020-01-21 11:12:00",293.02,293.02,293,293,15,293.017,0,6
"2020-01-21 11:13:00",293.02,293.02,293.02,293.02,1,293.02,0,1
"2020-01-21 11:14:00",293.01,293.04,293.01,293.03,34,293.013,0,20
"2020-01-21 11:15:00",293.05,293.05,293.04,293.05,2,293.05,0,1
"2020-01-21 11:16:00",293.04,293.04,293.03,293.03,3,293.033,0,2
"2020-01-21 11:17:00",293.04,293.05,293.01,293.01,64,293.046,0,23
"2020-01-21 11:18:00",293.01,293.01,292.97,292.97,35,292.987,0,20
"2020-01-21 11:19:00",292.98,292.98,292.96,292.96,13,292.97,0,11
"2020-01-21 11:20:00",292.96,292.98,292.95,292.96,9,292.964,0,8
"2020-01-21 11:21:00",292.97,293,292.96,293,8,292.979,0,8
"2020-01-21 11:22:00",293.03,293.03,292.98,292.99,23,293.014,0,18
"2020-01-21 11:23:00",293.01,293.04,293.01,293.03,21,293.026,0,17
"2020-01-21 11:24:00",293.04,293.06,293.02,293.05,22,293.029,0,11
"2020-01-21 11:25:00",293.05,293.05,293.04,293.04,5,293.046,0,5
"2020-01-21 11:26:00",293.04,293.04,293.04,293.04,0,293.04,0,0
"2020-01-21 11:27:00",293.05,293.08,293.05,293.08,22,293.056,0,14
"2020-01-21 11:28:00",293.07,293.07,293.04,293.04,28,293.053,0,17
"2020-01-21 11:29:00",293.06,293.07,293.06,293.07,2,293.065,0,2
"2020-01-21 11:30:00",293.04,293.07,293.04,293.07,11,293.045,0,5
"2020-01-21 11:31:00",293.08,293.08,293.08,293.08,3,293.08,0,3
"2020-01-21 11:32:00",293.14,293.16,293.14,293.16,24,293.15,0,17
"2020-01-21 11:33:00",293.15,293.2,293.15,293.19,51,293.186,0,16
"2020-01-21 11:34:00",293.19,293.24,293.19,293.2,67,293.22,0,35
"2020-01-21 11:35:00",293.21,293.21,293.16,293.18,23,293.181,0,12
"2020-01-21 11:36:00",293.16,293.19,293.16,293.18,9,293.167,0,7
"2020-01-21 11:37:00",293.21,293.22,293.19,293.19,50,293.214,0,21
"2020-01-21 11:38:00",293.22,293.23,293.22,293.23,5,293.221,0,4
"2020-01-21 11:39:00",293.23,293.25,293.23,293.24,7,293.238,0,7
"2020-01-21 11:40:00",293.24,293.24,293.23,293.24,8,293.235,0,1
"2020-01-21 11:41:00",293.17,293.18,293.16,293.16,10,293.168,0,7
"2020-01-21 11:42:00",293.17,293.17,293.13,293.15,18,293.139,0,13
"2020-01-21 11:43:00",293.13,293.16,293.13,293.16,5,293.144,0,4
"2020-01-21 11:44:00",293.12,293.13,293.05,293.05,36,293.106,0,11
"2020-01-21 11:45:00",293.05,293.07,293.04,293.05,9,293.057,0,7
"2020-01-21 11:46:00",293.08,293.09,293.06,293.09,18,293.078,0,16
"2020-01-21 11:47:00",293.09,293.09,293.06,293.07,12,293.076,0,10
"2020-01-21 11:48:00",293.07,293.15,293.07,293.15,38,293.12,0,30
"2020-01-21 11:49:00",293.15,293.15,293.13,293.13,4,293.141,0,3
"2020-01-21 11:50:00",293.1,293.1,293.08,293.08,5,293.088,0,5
